KodProduktu;Prognoza_M1;Prognoza_M2;Prognoza_M3
'0001;0,49;0;0
'0001.01;0;0;0
'0001.03;0,78;6,77;0
'0001.08;2,29;2,91;3,32
'0003;134,85;125,6;101,27
'0009.02;0;0;0
'0013;4,71;3,38;6,13
'0013.07;10,07;0,25;0,22
'0013.08;0;0;0
'0014;87,21;102,33;113,1
'0014.01;0;0;0
'0014.04;0,01;0,59;0,5
'0014.05;0;0;0
'0014.11;0,83;0,7;1,0
'0014.12;0;0;0
'0014.14;4,55;3,81;4,54
'0014.15;11,31;7,38;5,04
'0015;44,78;102,38;27,44
'0015.06;132,85;182,89;220,52
'0015.10;1,21;0,01;0,96
'0015.16;17,48;0;1,28
'0015.18;6,39;5,69;0
'0015.21;0;0,93;1,62
'0016;1,79;2,32;7,08
'0016.01;0;0;0
'0016.05;0;0;0
'0016.06;0;0;0
'0016.07;0;0;0
'0016.08;11,96;7,59;11,4
'0016.11;10,7;26,54;10,83
'0016.12;0;0;0
'0016.15;0;0;0
'0016.16;0;0,61;0,7
'0016.23;0;0;0
'0017;78,2;112,54;119,53
'0017.00.07;29,45;30,46;31,78
'0017.04;16,29;5,25;4,81
'0017.05;0;0;0
'0017.071;0;0;0
'0017.08;0;0;0
'0017.10;0;0;0
'0017.11;7,0;1,67;0,73
'0017.13;0;0;0
'0017.15;0,01;0,12;0,82
'0017.20;0;0;0
'0017.22;4,64;4,6;0,18
'0017.24;13,24;7,79;30,66
'0017.26;0;0;0
'0017.27;28,57;44,04;25,4
'0018;4,46;2,54;3,0
'0018.03;0;0;0
'0018.09;0;0;0
'0018.10;0;0;0
'0018.10.01;0;0;0
'0023;0;0;0
'0024;109,09;175,39;140,26
'0027;8,37;4,82;2,44
'0027.01;0,01;0,12;0,14
'0028;261,62;273,97;215,19
'0029;0;0;0
'0029.01;46,87;50,71;54,08
'0032;0;0;0
'0036;304,96;376,3;385,74
'0036.01;0,28;0,29;1,06
'0036.03;3,03;1,87;1,91
'0036.04.01;0;0;3,12
'0036.10;6,76;78,04;16,7
'0036.12;0;0;0
'0037;54,29;42,2;40,63
'0037.03;0;0;0
'0037.08;10,6;62,81;106,2
'0039;1328,92;1253,91;1387,83
'0039.01;0;0;0
'0040;57,45;105,36;117,99
'0040.02;30,51;111,02;145,51
'0042;140,87;334,6;315,08
'0042.03;0;0;0
'0042.06;2,13;2,29;9,07
'0042.08;0;0;0
'0043;14,56;12,82;0
'0044;261,14;304,59;237,71
'0044.01;0;0;0
'0044.04;4,56;4,6;2,21
'0044.07;0;0;0
'0044.15;73,28;63,95;96,23
'0047;72,18;22,44;0
'0047.02;0;0;0
'0047.03;33,35;67,46;143,24
'0047.04;408,27;454,13;542,2
'0048;0;0;0
'0048.02;0;0;0
'0049;37,56;73,53;47,04
'0050;0;0;0
'0051;0;0;0
'0052;16,85;121,49;118,81
'0053;0;0;0
'0056;0,01;0;0,01
'0057;0;0;0
'0057.03;0;0;0
'0058;4,4;2,96;2,98
'0058.01;4,6;4,6;4,6
'0058.02;12,51;12,57;12,72
'0059;0;0;0
'0059.01;0;0;0
'0060;0;0;0
'0063;387,84;469,89;389,26
'0064;231,95;472,94;373,03
'0064.01;0;0;0
'0065;161,1;227,68;244,21
'0065.03;2,63;25,16;32,32
'0066;81,49;112,4;85,81
'0067;386,33;300,91;508,92
'0067.02;0;0;0
'0067.03;0;0;0
'0068;23,42;26,11;20,76
'0069;0;0;0
'0070;4,65;4,6;4,6
'0071;15,67;29,02;23,68
'0071.01;5,18;5,18;5,15
'0072;5,64;11,93;11,16
'0072.01;6,26;7,36;8,59
'0074;56,13;46,84;49,58
'0074.01;0,01;0,12;0,12
'0075;35,09;33,17;61,87
'0075.01;0,61;0,7;0,7
'0075.02;6,19;7,33;3,05
'0075.06;28,33;0;0,56
'0075.09;0;0;0
'0075.12;18,44;15,89;14,52
'0075.13;0;0;0
'0075.14;1,61;1,61;1,61
'0075.15;0,01;0,12;0,12
'0083;493,34;447,84;396,93
'0087;90,89;110,73;120,92
'0089;3,55;5,82;0
'0089.01;96,91;151,91;73,3
'0090;0;0;0
'0091;484,81;585,53;549,96
'0091.01;0,01;0,12;0,12
'0091.03;0;0;0
'0092;2,21;36,98;58,64
'0093;186,38;302,41;447,49
'0093.01;0;87,13;20,1
'0094;35,35;14,17;0
'0096.03;52,4;46,72;47,8
'0098;0,14;6,26;15,03
'0099;0;0;0
'0101;124,38;112,01;118,12
'0101.01;0,01;0;0,01
'0101.02;0,01;0,12;0
'0102;27,97;1,44;8,48
'0103;102,97;11,81;54,12
'0104;379,16;637,36;817,49
'0105;263,96;167,99;222,37
'0106;276,54;419,01;167,91
'0107;0;0;0
'0108.01;0;0;0
